permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,PEG_1yrforward,PEG_ltgforward
10107,30.06.05,30.09.05,31.01.06,33.861,0.176,15.245,23.074,23.264,23.856,23.856,7.211,17.185,2.806,0.319,0.444,0.421,0.877,0.432,0.341,0.242,0.235,,0.263,0.235,0,0.235,0.43,0.306,0.517,1,,,,,,1.818,0.01,0.133,,,,0.789,,1.1,1.04,0.731,0.95,8.814,,0.301,0.036,0.432,,,2.303,2.884,2.913,,10.689,0.59,6.394,2.849,0.845,0.845,1.296,0.151,0.025,0,0.055,6.019,11.538,1.14%,15.506,2.109
10107,30.06.05,31.12.05,28.02.06,31.756,0.163,14.951,21.496,21.846,22.392,22.392,6.713,17.868,0.264,0.316,0.434,0.409,0.874,0.42,0.341,0.262,0.273,,0.263,0.273,0,0.273,0.505,0.34,0.524,1,,,,,,1.71,0.013,0.137,,,,0.761,,1.074,0.931,0.731,0.936,9.27,,0.318,0.041,0.467,,,2.248,2.834,2.873,,8.147,0.6,6.279,2.938,0.88,0.88,1.323,0.151,0.025,0,0.036,6.281,10.28,1.34%,14.555,1.838
